Name,Description,In Battle Description
Bureaucrat,"Once per phase, if another player makes a payment to any player other then you of at least 5 spice, you may force two spice to go to the Spice Bank.",Your opponent subtracts 1 from their Battle total for each Stronghold they occupy (not counting those occupied by advisors).
Diplomat,"You may count one Worthless card in your Battle Plan as the defense your opponent used in the battle, provided that you played no defense. Discard it afterward.",A number of your undialed forces up to the strength of this leader may retreat to an empty adjacent non-stronghold territory if you lose the battle.
Killer Medic,Add a +1 to your other leader discs when using a Poison Defense.,Add a +3 to your leader disc when using a Poison Defense.
Master of Assassins,Add a +1 to your other leader discs when using a Poison Weapon.,Add a +3 to your leader disc when using a Poison Weapon.
Mentat,"Before making Battle Plans, you may ask your opponent if they have a specific weapon (e.g. Crysknife or Poison Tooth) in hand.  They must show you that card if they have it, or another Treachery Card if they don’t.  They are not required to use the weapon.",Add +2 to this leader disc.
Planetologist,"Add +1 to your movement (to a maximum of 3), OR you may move forces from two different territories in a single movement if they have the same destination.","Reveal one green Special card (other than a Cheap Hero), e.g. Hajr or Thumper, as part of your Battle Plan in place of a weapon and add +2 to this leader disc.  Discard it after battle."
Prana Bindu Adept,Add a +1 to your other leader discs when using a Projectile Defense.,Add a +3 to your leader disc when using a Projectile Defense.
Rihani Decipherer,"If you win a battle, secretly peek at 2 random cards in the Traitor Deck, then reshuffle it.","If you win the battle, you may draw 2 Traitor Cards from the deck.  Keep one card by revealing an unused Traitor Card you hold and then shuffling it and the other card you drew back into the deck."
Sandmaster,"If you move any number of your forces into or through a territory containing spice, you may immediately collect 1 spice from that territory (once per territory).","Add 3 more spice to a territory you are in that has spice, after winning a battle there."
Smuggler,"Whenever you ship forces from off-planet to an empty territory, you may bring one additional force for free.",Collect 1 spice for each point of strength of this leader from the territory this battle is in (if spice is present) when Battle Plans are revealed.
Spice Banker,"Once per phase, if another player makes a payment to the Spice Bank of at least 4 spice, you gain 1 spice, placing it in front of your shield and collecting it in the Mentat Pause.",You may spend 1-3 of your spice as part of your Battle Plan and add the amount to your leader disc.  This is separate from any spice paid to count your forces as full strength.
Suk Graduate,"When you win a battle and lose forces, return 1 to your reserves instead of going to the Tleilaxu Tanks.","When you win a battle and lose forces, you may save up to 3 of them from going to the Tleilaxu Tanks, leaving 1 of them in the territory and returning the rest to your reserves."
Swordmaster of Ginaz,Add a +1 to your other leader discs when using a Projectile Weapon.,Add +3 to this leader disc when using a Projectile Weapon.
Warmaster,Add +1 to your other leader discs when you play at least one Worthless card as part of your battle plan.,Add +3 to this leader disc if you play at least one Worthless card as part of your battle plan.
