phase,quote
7,"*War is behavior with roots in the single cell of the primeval seas. Eat whatever you touch or it will eat you.*
~ Chapterhouse: Dune"
7,"*This was a dream to capture men’s souls, and she could sense the hand of the ecologist in it. This was a dream for which men would die willingly. It was another of the essential ingredients that she felt her son needed: people with a goal. Such people would be easy to imbue with fervor and fanaticism. They could be wielded like a sword*
~ Dune"
7,"*Peace for any prolonged period of time is impossible. Humans have a natural thirst for chaos and war is the most readily available form of chaos.*
~ God Emperor of Dune"
7,"*“You’ve heard of animals chewing off a leg to escape a trap? There’s an animal kind of trick. A human would remain in the trap, endure the pain, feigning death that he might kill the trapper and remove a threat to his kind.”*
~ Gaius Helen Mohiam :bg: "
7,"*"" He felt as he always did just before battle: Empty of all false dreams. This was a failure. The talking had failed and now came the contest of blood.""*
~ Miles Teg in *Heretics of Dune*"
7,"*“There is no measuring Muad'Dib's motives by ordinary standards. In the moment of his triumph, he saw the death prepared for him, yet he accepted the treachery. Can you say he did this out of a sense of justice? Whose justice, then? Remember, we speak now of the Muad'Dib who ordered battle drums made from his enemies' skins, the Muad'Dib who denied the conventions of his ducal past with a wave of the hand, saying merely: 'I am the Kwisatz Haderach. That is reason enough.”*
― Frank Herbert, Dune"
7,"*“The flesh surrenders itself. Eternity takes back its own. Our bodies stirred these waters briefly, danced with a certain intoxication before the love of life and self, dealt with a few strange ideas, then submitted to the instruments of Time. What can we say of this? I occurred. I am not...yet, I occurred.”*
― Frank Herbert, Dune Messiah"
7,"*“The test of a man isn’t what you think he’ll do. It’s what he actually does.”*
-Dune"
7,"*""Battle doesn't reinforce moral sense""*The Ghola Bashar, Chapterhouse:Dune"
7,"*To know anything well, know its limits. Only when pushed beyond its tolerances can its true nature be seen. ~The amtal rule*  - Chapterhouse:Dune"
7,"*“You wormfaced, crawling, sand-brained piece of lizard turd."" *  -Stilgar"
4,"*ASSASSINS' HANDBOOK: Third-century compilation of poisons commonly used in a War of Assassins. Later expanded to include those deadly devices permitted under the :guild: Guild Peace and Great Convention... as well as Artillery Strike and Poison Tooth.*
~Dune Appendix III: Index, and my own addition"
4,"*My father, the Padishah Emperor, was 72 yet he looked no more than 35 the year he encompassed his death of Duke Leto and gave Arrakis back to the Harkonnens. He seldom appeared in public wearing other than a Sardaukar uniform and a Burseg's black helmet with the Imperial lion in gold upon its crest. The uniform was an open reminder of where his power lay. he was not always that blatant, though. When he wanted, he could radiate charm and sincerity""*
""In My Father's House"" by the Princess Irulan
~Dune"
4,"*Quite naturally, holders of power wish to suppress wild research. Unrestricted questing after knowledge has a long history of producing unwanted competition. The powerful want a ""safe line of investigations,"" which will develop only those products and ideas that can be controlled and, most important, that will allow the larger part of the benefits to be captured by inside investors. Unfortunately, a random universe full of relative variables does not insure such a ""safe line of investigations.""*
-Assessment of Ix, Bene Gesserit Archives (Heretics of Dune)"
4,"*The convoluted wording of legalisms grew up around the necessity to hide from ourselves the violence we intend toward each other. Between depriving a man of one hour from his life and depriving him of his life there exists only a difference of degree. You have done violence to him, consumed his energy. Elaborate euphemisms may conceal your intent to kill, but behind any use of power over another the ultimate assumption remains: ""I feed on your energy.""
        -Addenda to Orders in Council: The Emperor Paul Muad'dib*
~Dune Messiah"
4,*“Truth suffers from too much analysis.* -Ancient :fremen:  Saying
3,"*CHOAM. The Combine Honnete was much more than House :atreides:  Atreides, much more than Dune, much more than the Priesthood or melange. It was inkvines, whale fur, shigawire, Ixian artifacts and entertainers, trade in people and places, ... it was transportation (the  :guild:  Guild) and all of the supercomplex commerce of an empire*
―Alia Atreides' comments on CHOAM"
3,"*CHOAM: acronym for Combine Honnete Ober Advancer Mercantiles -- the universal development corporation controlled by the Emperor and Great Houses with the Guild and Bene Gesserit as silent partners*
~ Dune index"
3,"*People, not commercial organizations or chains of command, are what make great civilizations work. Every civilization depends upon the quality of the individuals it produces.*
~ A letter to CHOAM, attributed to The Preacher (Children of Dune)"
3,"*The failure of CHOAM? Quite simple: They ignore the fact that larger commercial powers wait at the edges of their activities, powers that could swallow them the way a slig swallows garbage. This is the true threat of the Scattering—to them and to us all.
        -Bene Gesserit Council notes, Archives #SXX9OCH*"
3,*A Fremen dies when he's too long from the desert. They call it the Water sickness* -  Dune Messiah
10,"*Confine yourself to observing and you always miss the point of your life. The object can be stated this way: Live the best life you can. Life is a game whose rules you learn if you leap into it and play it to the hilt. Otherwise, you are caught off balance, continually surprised by the shifting play. Non-players often whine and complain that luck always passes them by. They refuse to see that they can create some of their own luck. * ~Darwi Odrade, Chapterhouse:Dune"
10,
0,"*Deep in the human unconscious is a pervasive need for a logical universe that makes sense. But the real universe is always one step beyond logic.* - Frank Herbert, 'Dune'"
